data,casosconfirmados,chuva,temperaturamedia,temperaturamininima,temperaturamaxima
19980101,237,179.2,25.7,20.2,28.1
19980201,331,226.3,25.1,20,28
19980301,562,149.1,24.8,22.4,27.2
19980401,187,46.4,22.7,18.1,26
19980501,32,88.3,19.2,15.7,22.9
19980601,11,21.2,18,15.4,21.2
19980701,6,7.9,19,13.5,22.9
19980801,4,15.6,21.7,17,25.7
19980901,7,88.1,21.9,18.9,26.1
19981001,7,167.3,21.9,18.4,24.6
19981101,5,55.4,23.4,20.3,27.3
19981201,8,309.1,24.3,20.6,28.1
19990101,7,420.3,25.1,21.3,28.5
19990201,12,228.1,24.6,22.5,26.3
19990301,27,140.5,24.5,21.8,26.6
19990401,49,48.9,21.6,13,26.6
19990501,8,47.1,18.7,13.6,22.3
19990601,3,70.1,17.8,14.2,21
19990701,1,,19.6,17.1,22.1
19990801,3,,19.8,10.8,24.8
19990901,3,64.3,21.3,15,25.7
19991001,0,36.6,21.5,15,28.2
19991101,0,87.3,21.7,15,26.2
19991201,4,176.5,24,21,27.4
20000101,6,293.8,24.6,21.5,26.9
20000201,11,251.7,24.4,20,26.1
20000301,21,132.6,24,21.5,26.2
20000401,15,0.8,22.4,18,25
20000501,8,3.2,19.6,15.6,24.4
20000601,4,4.9,20,15.6,22.6
20000701,4,83,17.3,8.2,22.1
20000801,3,67.4,20,13,25.7
20000901,0,76.9,21.2,15.5,25.3
20001001,2,60.3,25,20.8,27.8
20001101,2,276.7,23.5,17.6,25.6
20001201,5,216.7,23.9,17.9,26.6
20010101,32,167.7,25,23.2,27.2
20010201,38,316.9,25.3,22.8,26.7
20010301,160,114.1,24.7,21.5,26.4
20010401,223,26.8,23.7,20.8,25.9
20010501,136,89.9,19.3,13.6,25.1
20010601,21,20.2,19,10.6,23
20010701,13,11.4,19.2,12.4,23.4
20010801,10,27.5,20.9,19,23.2
20010901,2,72.2,21.4,14,25.2
20011001,2,251.9,22.4,19.1,26
20011101,5,104.4,24.2,19.8,26.6
20011201,86,203.3,23.6,20.4,26.2
20020101,224,219.9,24.3,20.4,26.6
20020201,364,126.3,23.1,21.3,25.3
20020301,348,117.1,25.4,22.9,27.6
20020401,266,21.9,24.7,22.5,26.3
20020501,156,96.8,21.1,17.2,23.8
20020601,50,,20.9,18.7,22.9
20020701,8,5.3,18.8,12.9,22.2
20020801,9,66.4,22.3,18.3,24.5
20020901,6,49.1,20.9,14.7,25.3
20021001,4,45.2,26.3,21,29.4
20021101,7,232.4,24.3,19.3,28
20021201,22,162.6,25.3,22.5,27.8
20030101,90,385.4,24.5,21.5,28.2
20030201,91,215.3,25.9,21.8,28.3
20030301,125,83.9,24.3,21.7,26.7
20030401,76,62.3,22.9,18.7,25.3
20030501,28,49.3,19.3,14.5,24.1
20030601,7,11.5,20.4,17.9,23
20030701,2,22.1,19.8,15.2,21.9
20030801,0,19.7,19.1,14.1,23.9
20030901,0,20.5,22,16,27.4
20031001,1,86,22.9,17.2,26.7
20031101,0,223.3,23.2,18.9,28.2
20031201,3,299.5,24.5,20.7,28.3
20040101,9,176.2,23.8,19.5,25.9
20040201,8,156.3,23.7,20,27.1
20040301,6,64.1,23.3,20.1,26
20040401,3,47.6,23,19.8,24.8
20040501,1,115.9,18.7,12.9,23.9
20040601,0,58.5,18.2,13.2,22
20040701,0,93.7,17.9,14,21.3
20040801,0,,19.9,14.7,23.8
20040901,0,27.5,24.2,19.5,27.7
20041001,0,201,21.3,14.6,25.7
20041101,0,117.4,23.2,19.3,26.6
20041201,3,177.5,23.7,19.4,26.3
20050101,5,452.8,24.2,19,26.9
20050201,7,96.7,24.3,21.7,27.9
20050301,8,308.1,24.4,21.1,27.3
20050401,38,43.1,24,17.8,26.9
20050501,29,163.1,21.1,17.7,23.8
20050601,17,44.1,20.1,16.7,22.1
20050701,8,6.1,18.6,14.1,22.4
20050801,2,16.2,21.3,15.5,26.9
20050901,2,49.1,21,16.5,25.1
20051001,0,203.1,24.2,18.7,27.3
20051101,0,38.7,23.3,20.3,26.7
20051201,3,138.4,23.6,21.3,25.9
